Species Code,Common Name,Scientific Name,Migration Note
grrwar1,Great Reed Warbler,Acrocephalus arundinaceus,"Very loud, large warbler that winters in extensive reedbeds across the country."
grwpel1,Great White Pelican,Pelecanus onocrotalus,Massive winter migrant that forms cooperative feeding flotillas in Gujarat and northern wetlands.
grefla3,Greater Flamingo,Phoenicopterus roseus,Highly nomadic resident and winter migrant breeding famously in the Rann of Kutch.
gwfgoo,Greater White-fronted Goose,Anser albifrons,Uncommon but regular winter migrant to the wetlands of northern India.
grnsan,Green Sandpiper,Tringa ochropus,Solitary wintering wader found in flooded ditches and narrow streams across the country.
gnwtea,Green-winged Teal,Anas crecca,"Small, fast-flying dabbling duck that is a widespread winter visitor."
gubter2,Gull-billed Tern,Gelochelidon nilotica,Resident and winter migrant that uniquely feeds over dry land and agricultural fields.
himcuc1,Himalayan Cuckoo,Cuculus saturatus,Breeds in the Himalayas and undertakes an altitudinal/passage migration southward.
himrub1,Himalayan Rubythroat,Calliope pectoralis,Altitudinal migrant moving from high alpine scrub down to foothills in the winter.
indcuc1,Indian Cuckoo,Cuculus micropterus,Breeding summer migrant famous for its four-note whistling call.
aspfly1,Indian Paradise-Flycatcher,Terpsiphone paradisi,Spectacular long-tailed bird that migrates locally across the peninsula for winter.
indpit1,Indian Pitta,Pitta brachyura,"Breeds in the Himalayan foothills and Central India, wintering entirely in the south and Sri Lanka."
inpher1,Indian Pond-Heron,Ardeola grayii,Highly camouflaged resident that undertakes short local movements post-monsoon.
kenplo1,Kentish Plover,Anarhynchus alexandrinus,"Common winter wader of sandy beaches and saltpans, with some resident breeding populations."
litgre1,Little Grebe,Tachybaptus ruficollis,Widespread resident that moves locally to find suitable vegetated ponds.
lirplo,Little Ringed Plover,Thinornis dubius,Both a resident breeder and a widespread winter visitor to freshwater margins.
litsti,Little Stint,Calidris minuta,"The most abundant small wintering wader, forming massive flocks on mudflats."
lotshr1,Long-tailed Shrike,Lanius schach,Conspicuous resident that also demonstrates altitudinal migration from the Himalayas.
mallar3,Mallard,Anas platyrhynchos,Widespread wintering duck primarily restricted to the northern half of India.
marori2,Maroon Oriole,Oriolus traillii,Deep forest altitudinal migrant moving down the Himalayas during winter.
marsan,Marsh Sandpiper,Tringa stagnatilis,"Elegant, needle-billed wader that is a common winter visitor to shallow waters."
norlap,Northern Lapwing,Vanellus vanellus,"Winter migrant easily identified by its crest, found in the fields of northern India."
norpin,Northern Pintail,Anas acuta,Abundant and graceful wintering duck that gathers in immense numbers on large lakes.
norsho,Northern Shoveler,Spatula clypeata,"Wintering duck that utilizes its heavy bill to filter-feed in shallow, nutrient-rich waters."
whimbr,Whimbrel,Numenius phaeopus,Coastal winter wader recognized by its down-curved bill and striped crown.
oricuc2,Oriental Cuckoo,Cuculus optatus,Passage and winter migrant primarily recorded in the Andaman Islands and Northeast.
orihob2,Oriental Honey-buzzard,Pernis ptilorhynchus,Widespread raptor featuring resident populations alongside notable migratory influxes.
oripra,Oriental Pratincole,Glareola maldivarum,Local migrant that breeds on dry riverbeds and hawks insects in the air like a swallow.
osprey,Osprey,Pandion haliaetus,Widespread wintering raptor found plunge-diving for fish in large water bodies.
pagplo,Pacific Golden-Plover,Pluvialis fulva,Common coastal and grassy-field wintering migrant arriving from the Siberian tundra.
perfal,Peregrine Falcon,Falco peregrinus,Formidable winter migrant (subspecies calidus) joining resident populations across the country.
phtjac1,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Stunning resident that moves locally based on the availability of floating wetland vegetation.
pieavo1,Pied Avocet,Recurvirostra avosetta,Striking black-and-white winter wader that sweeps its upcurved bill through shallow water.
